range	bloomHash	bloomSize	indexHash	indexSize
002461546-002500000	QmWC7M49FsKnEgwqu4mbNxMYdFoMQzzf7T9LjXN9sPudnT	1179722	QmbhUxaU51QSjxLGA7vH7cGLMNRarHMr7amXkShXhMQyX7	21042468
002500001-002600000	QmfCt1MLtcUsiYjg7sAdgVXzF2Xygu9m32VjrkJgq8zoMD	262190	QmY7zSTA7xxJXMgJyJ5k1JVPKbHVxL2WCLwnLYTbEYmEKq	17000564
002600001-002679108	QmXAAd2xN7nv9X9urdBVeoc3Dembxmxi1Qsz3Kt41oCZyb	1704026	QmdkRRqP5tvVjxS1MjUBbRqb4eAqJSRyWUUB9yQkPhJnU1	33477640
002679109-002683120	QmR5XPnYuJuypCu8LzbWKki3i1DnfWZsgJF9JsqPWL2hCF	5112002	QmNnM9J5Navja9nhYaDAcaAuPVoXpiAaKUxY5wW5SRD8tP	70352380
002683121-002690830	QmaqK4gHALCSk3yB79xKekMcW2fvRt6YvC8GVG4nk3BYgm	4980926	QmPoU3zot1LNTUYomGER3ykLJZGcxPui8g17WQu9a3zsQA	68939480
002690831-002697664	QmTRyJaaUj9rJp7CHF4qLVmfLHG5sbiwTMHftaufDLFQUv	4980926	QmQsEqJxfw7XddhJqFohopwxGJbgZHdPF8aBw1uy8TPYzJ	68748016
002697665-002700000	QmafYhD4Bra1snHpXGEXyYpCiSB8JSPjCQsMfjhX88JSaG	3276938	QmU82bD5UsUS9Qo34odihGTdvWQZqjkv4V16H6S3czTUyQ	43491940
002700001-002703157	Qmf5J4NX74wjRhfZpwRmbV4kUVoPLwU62AjPWeFuFdTLvZ	5243078	QmWTnGAn94s5UKXSv26cHZC1px6aitoXEhHnLazBNcihXu	70650908
002703158-002705941	QmTjpnRKmqjdZ9k5uq6QtRQrwwXhfMgpAwFbFTcFGAauSG	5112002	QmP9ousGuB1c7SGdgx8YYbs47enStZ2G8rNaiqWUY2M1rJ	70386880
002705942-002708765	QmfUKeWGrt3ffRv9my7SzYtN6AvPRPhRh5vMp3XaABa76r	5112002	QmPCsV5cnAwDPbgbLWHfibbVct7M8sETAAXgBpdVNPn1h6	70401788
002708766-002711377	QmZgYRJuYo66thWhcDvZD3kk63dTdxj4c2nUcYyksNK6As	5112002	QmVSGLhStbcpmZwsAeCe2f16USDR6nVvUouVLhX3o8jZoF	70512196
002711378-002713930	QmYZRM3A6LpzfPXBZNXQuw7YG8MbhREVj2qXHaixwK8P7p	5112002	QmR5phBTrxqarRf8uwWNTGP1ncn8JjLRwomYFzh5hrEyvY	70461908
002713931-002717324	QmdGXmxLkKt3fRbFZfpMS2yxBE8x3jWFHNGSWAu33XVn4o	5112002	Qma9DUDCgFnGitynpUTWcHouh2BEfVnKfkTbgr6zYXQmQU	70112356
002717325-002800000	QmSPW6L8TvGGqt8NzfAzVQv9q1yyf9tGWUhUm1oW5RUUw1	1310798	QmTgLKkAh5qXWmstCwE5Ytn3dYfxgenJKXHEQiJD3oYpVo	27868060
002800001-002900000	QmaPvj3ejhmJqUFVAHiePQr6fmBxpb1azqK7CT1om43kmV	262190	Qmc4HaDsSUK5zGRnhqFUiQ4j8fM6Seq4vW11PGWjFvCS2M	17155096
002900001-003000000	QmWKJAT9CrWMogSFXaTYaGdFhXuLFpLccrWWcndBtbMFyL	262190	QmUgzTErrvKNeUY2HYHaL98vQS25R99uv5turCt8tmPzxi	17687356
003000001-003100000	QmYx1T4VozDRLhZPA48JHBt7BZmC2aPZsfM6e4v9XZvacQ	262190	QmVtK2t9ZVfVdyqhZSyhzGz8AhxCLxwFnCpdRucavV3Grk	17844020
003100001-003197417	QmY9UngbML53kDSNccDWpDeVxH2Er7E4DiDnLftHgDxj4G	262190	QmRU28A5hFijakbAXphgb2kwjdG8zGwEdcMbU9HcaobSMC	18493300
